,play_id,play_type,play_description,play_description_short,away_score,home_score,quarter,seconds_remaining_in_quarter,clock_display_value,scoring_play,play_score_value,posteam,start_down,start_yards_to_go,start_yards_to_endzone,end_down,end_yards_to_go,end_yards_to_endzone,yards_gained
21,401326317516,Passing Touchdown,"Trent Sherfield Pass From Trey Lance for 5 Yrds R.Gould extra point is GOOD, Center-T.Pepper, Holder-M.Wishnowsky.",Trent Sherfield 5 Yd pass from Trey Lance (Robbie Gould Kick),7,0,1,341.0,5:41,True,6,SF,1,5,5,-1,10,15,5
22,401326317561,Kickoff Return (Offense),"M.Wishnowsky kicks 59 yards from SF 35 to DET 6. G.Igwebuike MUFFS catch, and recovers at DET 10. G.Igwebuike to DET 18 for 8 yards (T.Wilson).","Mitch Wishnowsky 59 Yrd Kickoff, Godwin Igwebuike Muffed kick, Godwin Igwebuike 8 Yrd KO Return",7,0,1,341.0,5:41,False,0,SF,0,0,65,-1,10,82,8
23,401326317596,Pass Incompletion,(5:34) (Shotgun) J.Goff pass incomplete short left to T.Hockenson.,"Jared Goff Incomplete Pass, Int'd For T.J. Hockenson",7,0,1,334.0,5:34,False,0,DET,1,10,82,2,10,82,0
24,401326317618,Rush,(5:31) J.Williams up the middle to DET 38 for 20 yards (J.Ward).,Jamaal Williams 20 Yrd Rush,7,0,1,331.0,5:31,False,0,DET,2,10,82,1,10,62,20
25,401326317639,Rush,(4:48) J.Williams up the middle to DET 45 for 7 yards (K.Williams).,Jamaal Williams 7 Yrd Rush,7,0,1,288.0,4:48,False,0,DET,1,10,62,2,3,55,7
26,401326317660,Pass Incompletion,"(4:08) J.Goff pass incomplete short right to J.Cabinda. PENALTY on SF-A.Armstead, Roughing the Passer, 15 yards, enforced at DET 45 - No Play.","Jared Goff Incomplete Pass, Int'd For Jason Cabinda , Arik Armstead 15 Yrd Penalty",7,0,1,248.0,4:08,False,0,DET,2,3,55,1,10,40,15
27,401326317693,Sack,(4:04) J.Goff sacked at 50 for -10 yards (K.Street).,Jared Goff Sacked by Kentavius Street For 10 Yrd Loss to 50,7,0,1,244.0,4:04,False,0,DET,1,10,40,2,20,50,-10
28,401326317712,Pass Reception,(3:20) J.Goff pass short middle to D.Swift to SF 38 for 12 yards (F.Warner).,Jared Goff  Pass Complete for 12 Yrds to D'Andre Swift,7,0,1,200.0,3:20,False,0,DET,2,20,50,3,8,38,12
29,401326317736,Pass Reception,(2:37) (Shotgun) J.Goff pass short left to T.Hockenson ran ob at SF 26 for 12 yards [A.Armstead].,Jared Goff  Pass Complete for 12 Yrds to T.J. Hockenson,7,0,1,157.0,2:37,False,0,DET,3,8,38,1,10,26,12
30,401326317765,Rush,(1:54) D.Swift up the middle to SF 19 for 7 yards (J.Verrett; D.Greenlaw).,D'Andre Swift 7 Yrd Rush,7,0,1,114.0,1:54,False,0,DET,1,10,26,2,3,19,7
31,401326317786,Rush,(1:17) D.Swift left tackle to SF 18 for 1 yard (J.Tartt; S.Ebukam).,D'Andre Swift 1 Yrd Rush,7,0,1,77.0,1:17,False,0,DET,2,3,19,3,2,18,1
32,401326317807,Pass Reception,(:51) (No Huddle) J.Goff pass short right to T.Hockenson to SF 17 for 1 yard (J.Tartt).,Jared Goff  Pass Complete for 1 Yrd to T.J. Hockenson,7,0,1,51.0,0:51,False,0,DET,3,2,18,4,1,17,1
33,401326317831,Pass Reception,(:10) (Shotgun) J.Goff pass short left to T.Williams to SF 10 for 7 yards (J.Verrett).,Jared Goff  Pass Complete for 7 Yrds to Tyrell Williams,7,0,1,10.0,0:10,False,0,DET,4,1,17,1,10,10,7
34,401326317855,End Period,END QUARTER 1,End Quarter 1,7,0,1,0.0,0:00,False,0,N/A,1,0,10,1,10,10,0
35,401326317874,Rush,(15:00) D.Swift left end to SF 9 for 1 yard (J.Verrett).,D'Andre Swift 1 Yrd Rush,7,0,2,900.0,15:00,False,0,DET,1,10,10,1,10,9,1
36,401326317895,Pass Reception,(14:19) (Shotgun) J.Goff pass short left to D.Swift to SF 6 for 3 yards (D.Greenlaw).,Jared Goff  Pass Complete for 3 Yrds to D'Andre Swift,7,0,2,859.0,14:19,False,0,DET,2,9,9,3,6,6,3
37,401326317919,Passing Touchdown,"T.J. Hockenson Pass From Jared Goff for 6 Yrds A.Seibert extra point is GOOD, Center-S.Daly, Holder-J.Fox.",T.J. Hockenson 6 Yd pass from Jared Goff (Austin Seibert Kick),7,7,2,809.0,13:29,True,6,DET,3,6,6,-1,10,15,6
38,401326317975,Kickoff Return (Offense),A.Seibert kicks 59 yards from DET 35 to SF 6. A.Thomas to SF 22 for 16 yards (J.Jacobs). DET-D.Barnes was injured during the play.,"Austin Seibert 59 Yrd Kickoff , Ambry Thomas 16 Yrd Return",7,7,2,809.0,13:29,False,0,DET,0,0,65,-1,10,78,16
39,401326317997,Rush,(13:23) (Shotgun) E.Mitchell right tackle to SF 25 for 3 yards (K.Strong).,Elijah Mitchell 3 Yrd Rush,7,7,2,803.0,13:23,False,0,SF,1,10,78,2,7,75,3
40,4013263171026,Pass Reception,(12:51) J.Garoppolo pass deep middle to D.Samuel to DET 46 for 29 yards (J.Okudah).,Jimmy Garoppolo  Pass Complete for 29 Yrds to Deebo Samuel,7,7,2,769.0,12:49,False,0,SF,2,7,75,1,10,46,29
41,4013263171054,Pass Reception,(12:06) (Shotgun) J.Garoppolo pass short left to D.Samuel to DET 38 for 8 yards (W.Harris).,Jimmy Garoppolo  Pass Complete for 8 Yrds to Deebo Samuel,7,7,2,726.0,12:06,False,0,SF,1,10,46,2,2,38,8
42,4013263171078,Rushing Touchdown,"Elijah Mitchell 38 Yard Rush R.Gould extra point is GOOD, Center-T.Pepper, Holder-M.Wishnowsky.",Elijah Mitchell 38 Yd Run (Robbie Gould Kick),14,7,2,672.0,11:12,True,6,SF,2,2,38,-1,10,0,38
43,4013263171127,Kickoff,"R.Gould kicks 65 yards from SF 35 to end zone, Touchback.","Robbie Gould 65 Yrd Kickoff, TB",14,7,2,672.0,11:12,False,0,SF,0,0,65,1,10,100,0
44,4013263171142,Rush,(11:12) J.Williams up the middle to DET 28 for 3 yards (D.Greenlaw; K.Street).,Jamaal Williams 3 Yrd Rush,14,7,2,672.0,11:12,False,0,DET,1,10,75,1,10,72,3
45,4013263171163,Pass Reception,(10:39) J.Goff pass short left to D.Fells to DET 30 for 2 yards (D.Greenlaw).,Jared Goff  Pass Complete for 2 Yrds to Darren Fells,14,7,2,636.0,10:36,False,0,DET,2,7,72,1,10,48,2
46,4013263171187,Pass Reception,(9:50) (Shotgun) J.Goff pass short left to J.Williams pushed ob at DET 36 for 6 yards (D.Greenlaw).,Jared Goff  Pass Complete for 6 Yrds to Jamaal Williams,14,7,2,590.0,9:50,False,0,DET,3,5,70,1,10,64,6
47,4013263171216,Rush,(9:10) D.Swift right tackle to SF 48 for 16 yards (J.Ward).,D'Andre Swift 16 Yrd Rush,14,7,2,550.0,9:10,False,0,DET,1,10,64,1,10,48,16
48,4013263171237,Rush,(8:36) D.Swift left tackle to SF 33 for 15 yards (J.Ward).,D'Andre Swift 15 Yrd Rush,14,7,2,516.0,8:36,False,0,DET,1,10,48,1,10,33,15
49,4013263171258,Rush,"(7:59) D.Swift up the middle to SF 34 for -1 yards (J.Tartt, K.Givens).","D'Andre Swift Rush , Loss of 1 Yrd",14,7,2,479.0,7:59,False,0,DET,1,10,33,1,10,34,-1
50,4013263171279,Rush,(7:22) (Shotgun) D.Swift left end to SF 38 for -4 yards (N.Bosa).,"D'Andre Swift Rush , Loss of 4 Yrds",14,7,2,442.0,7:22,False,0,DET,2,11,34,3,15,38,-4
51,4013263171300,Pass Reception,"(7:01) (No Huddle, Shotgun) J.Goff pass short middle to T.Williams to SF 31 for 7 yards (F.Warner).",Jared Goff  Pass Complete for 7 Yrds to Tyrell Williams,14,7,2,419.0,6:59,False,0,DET,3,15,38,1,10,65,7
52,4013263171324,Field Goal Good,Austin Seibert 49 Yd Field Goal ,Austin Seibert 49 Yd Field Goal ,14,10,2,373.0,6:13,True,3,DET,4,8,31,-1,10,65,49
53,4013263171343,Kickoff Return (Offense),"A.Seibert kicks 59 yards from DET 35 to SF 6. A.Thomas to SF 25 for 19 yards (A.Pittman, J.Cabinda).","Austin Seibert 59 Yrd Kickoff , Ambry Thomas 19 Yrd Return",14,10,2,373.0,6:13,False,0,DET,0,0,65,-1,10,26,19
54,4013263171365,Pass Reception,"(6:07) (Shotgun) J.Garoppolo pass short left to K.Juszczyk to SF 32 for 7 yards (A.Oruwariye). PENALTY on DET-C.Harris, Roughing the Passer, 15 yards, enforced at SF 32.","Jimmy Garoppolo Pass for 7 Yrds, Kyle Juszczyk Pass From Jimmy Garoppolo for 7 Yrds, Charles Harris ",14,10,2,367.0,6:07,False,0,SF,1,10,75,2,7,53,22
55,4013263171401,Rush,"(5:52) E.Mitchell left tackle to DET 47 for 6 yards (A.McNeill, M.Brockers).",Elijah Mitchell 6 Yrd Rush,14,10,2,352.0,5:52,False,0,SF,1,10,53,3,7,47,6
56,4013263171422,Rush,(5:17) (Shotgun) E.Mitchell right tackle to DET 36 for 11 yards (J.Okudah).,Elijah Mitchell 11 Yrd Rush,14,10,2,317.0,5:17,False,0,SF,2,4,47,1,10,36,11
57,4013263171443,Pass Reception,(4:36) (Shotgun) J.Garoppolo pass short middle to D.Samuel to DET 13 for 23 yards (T.Walker).,Jimmy Garoppolo  Pass Complete for 23 Yrds to Deebo Samuel,14,10,2,276.0,4:36,False,0,SF,1,10,36,1,10,13,23
58,4013263171467,Rush,"(3:51) E.Mitchell right tackle to DET 10 for 3 yards (A.McNeill, A.Anzalone).",Elijah Mitchell 3 Yrd Rush,14,10,2,231.0,3:51,False,0,SF,1,10,13,2,7,10,3
59,4013263171488,Pass Reception,(3:11) J.Garoppolo pass short left to D.Samuel ran ob at DET 3 for 7 yards.,Jimmy Garoppolo  Pass Complete for 7 Yrds to Deebo Samuel,14,10,2,191.0,3:11,False,0,SF,2,7,10,1,3,3,7
60,4013263171517,Rushing Touchdown,"JaMycal Hasty 3 Yard Rush R.Gould extra point is GOOD, Center-T.Pepper, Holder-M.Wishnowsky.",JaMycal Hasty 3 Yd Run (Robbie Gould Kick),21,10,2,145.0,2:25,True,6,SF,1,3,3,-1,10,0,3
61,4013263171555,Kickoff Return (Offense),R.Gould kicks 64 yards from SF 35 to DET 1. G.Igwebuike to DET 20 for 19 yards (D.Johnson; M.Harris).,"Robbie Gould 64 Yrd Kickoff , Godwin Igwebuike 19 Yrd Return",21,10,2,145.0,2:25,False,0,SF,0,0,65,-1,10,80,19
62,4013263171579,Pass Reception,(2:19) J.Goff pass short right to T.Hockenson to DET 30 for 10 yards (J.Tartt).,Jared Goff  Pass Complete for 10 Yrds to T.J. Hockenson,21,10,2,139.0,2:19,False,0,DET,1,10,80,1,10,70,10
63,4013263171603,Two-minute warning,Two-Minute Warning,Two-Minute Warning,21,10,2,120.0,2:00,False,0,DET,1,10,70,1,10,70,0
64,4013263171620,Rush,(2:00) D.Swift left tackle to DET 33 for 3 yards (F.Warner).,D'Andre Swift 3 Yrd Rush,21,10,2,120.0,2:00,False,0,DET,1,10,70,2,7,67,3
65,4013263171641,Pass Reception,(1:28) J.Goff pass short left to D.Swift pushed ob at DET 32 for -1 yards (A.Al-Shaair).,Jared Goff  Pass Complete for Loss of 1 Yrd to D'Andre Swift,21,10,2,88.0,1:28,False,0,DET,2,7,67,3,8,68,-1
66,4013263171670,Interception Return Touchdown,"(1:20) (Shotgun) J.Goff pass short middle intended for T.Hockenson INTERCEPTED by D.Greenlaw [D.Ford] at DET 39. D.Greenlaw for 39 yards, TOUCHDOWN.R.Gould extra point is GOOD, Center-T.Pepper, Holder-M.Wishnowsky.",Dre Greenlaw 39 Yd Interception Return (Robbie Gould Kick),28,10,2,70.0,1:10,True,6,DET,3,8,68,-1,10,75,39
67,4013263171718,Kickoff,"R.Gould kicks 65 yards from SF 35 to end zone, Touchback. SF-C.Woerner was injured during the play.","Robbie Gould 65 Yrd Kickoff, TB",28,10,2,70.0,1:10,False,0,SF,0,0,65,1,10,100,0
